iter	Passed	Remaining
630	4236	2477
631	4242	2470
632	4250	2464
633	4257	2457
634	4263	2450
635	4270	2444
636	4276	2437
637	4284	2430
638	4291	2424
639	4299	2418
640	4306	2412
641	4314	2405
642	4321	2399
643	4328	2392
644	4336	2386
645	4343	2380
646	4349	2373
647	4356	2366
648	4363	2359
649	4369	2353
650	4378	2347
651	4384	2340
652	4391	2333
653	4398	2327
654	4405	2320
655	4411	2313
656	4418	2307
657	4426	2300
658	4434	2294
659	4441	2288
660	4448	2281
661	4454	2274
662	4461	2268
663	4469	2261
664	4476	2255
665	4484	2249
666	4491	2242
667	4498	2235
668	4505	2229
669	4512	2222
670	4519	2216
671	4526	2209
672	4534	2203
673	4541	2196
674	4548	2189
675	4554	2183
676	4562	2176
677	4569	2170
678	4576	2163
679	4583	2156
680	4590	2150
681	4598	2144
682	4606	2137
683	4614	2131
684	4621	2125
685	4627	2118
686	4635	2111
687	4642	2105
688	4649	2098
689	4655	2091
690	4665	2086
691	4673	2080
692	4681	2074
693	4688	2067
694	4695	2060
695	4703	2054
696	4710	2047
697	4718	2041
698	4725	2034
699	4731	2027
700	4738	2021
701	4745	2014
702	4752	2007
703	4758	2000
704	4766	1994
705	4772	1987
706	4779	1980
707	4787	1974
708	4797	1969
709	4804	1962
710	4811	1955
711	4819	1949
712	4826	1942
713	4832	1935
714	4838	1928
715	4844	1921
716	4850	1914
717	4856	1907
718	4864	1901
719	4870	1894
720	4877	1887
721	4883	1880
722	4890	1873
723	4896	1866
724	4903	1860
725	4911	1853
726	4918	1846
727	4928	1841
728	4934	1834
729	4941	1827
730	4947	1820
731	4953	1813
732	4959	1806
733	4966	1799
734	4972	1792
735	4978	1785
736	4984	1778
737	4991	1772
738	4997	1765
739	5003	1758
740	5010	1751
741	5016	1744
742	5024	1737
743	5032	1731
744	5039	1724
745	5047	1718
746	5054	1711
747	5061	1705
748	5070	1699
749	5076	1692
750	5083	1685
751	5093	1679
752	5100	1672
753	5106	1666
754	5114	1659
755	5120	1652
756	5126	1645
757	5132	1638
758	5138	1631
759	5144	1624
760	5151	1617
761	5157	1610
762	5163	1603
763	5170	1597
764	5176	1590
765	5182	1583
766	5188	1576
767	5194	1569
768	5200	1562
769	5206	1555
770	5212	1548
771	5218	1541
772	5225	1534
773	5231	1527
774	5238	1520
775	5244	1514
776	5251	1507
777	5257	1500
778	5264	1493
779	5270	1486
780	5276	1479
781	5282	1472
782	5288	1465
783	5293	1458
784	5299	1451
785	5305	1444
786	5311	1437
787	5316	1430
788	5322	1423
789	5328	1416
790	5334	1409
791	5339	1402
792	5345	1395
793	5351	1388
794	5356	1381
795	5362	1374
